ahdc.superlayer1.layer1.ncomponents | 47| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer2.layer1.ncomponents | 56| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer2.layer2.ncomponents | 56| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer3.layer1.ncomponents | 72| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer3.layer2.ncomponents | 72| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer4.layer1.ncomponents | 87| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer4.layer2.ncomponents | 87| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
ahdc.superlayer5.layer1.ncomponents | 99| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
atof.sector0.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
