sector0_superlayer0_layer0_paddle10  |         ahdc_mother  |ATOFpaddle10 sector0 superlayer0 layer0  |                0.0000*mm   0.0000*mm -139.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | ff11aa   |       G4GenericTrap  |139.8500*mm      -0.105634*mm      77.100135*mm      -0.105632*mm      80.104252*mm      -8.268121*mm      79.676474*mm      -7.954103*mm      76.688814*mm      -0.105634*mm      77.100135*mm      -0.105632*mm      80.104252*mm      -8.268121*mm      79.676474*mm      -7.954103*mm      76.688814*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 0 layer manual 0 paddle manual 10 order manual 0 
sector0_superlayer0_layer1_paddle10  |         ahdc_mother  |ATOFpaddle10 sector0 superlayer0 layer1  |                0.0000*mm   0.0000*mm -139.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | ff11aa   |       G4GenericTrap  |139.8500*mm      -8.164214*mm      76.666730*mm      -8.478228*mm      79.654391*mm     -16.551286*mm      78.375744*mm     -15.926694*mm      75.437274*mm      -8.164214*mm      76.666730*mm      -8.478228*mm      79.654391*mm     -16.551286*mm      78.375744*mm     -15.926694*mm      75.437274*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 0 layer manual 1 paddle manual 10 order manual 0 
sector0_superlayer0_layer2_paddle10  |         ahdc_mother  |ATOFpaddle10 sector0 superlayer0 layer2  |                0.0000*mm   0.0000*mm -139.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | ff11aa   |       G4GenericTrap  |139.8500*mm     -16.133345*mm      75.393349*mm     -16.757934*mm      78.331819*mm     -24.653113*mm      76.216313*mm     -23.724788*mm      73.359228*mm     -16.133345*mm      75.393349*mm     -16.757934*mm      78.331819*mm     -24.653113*mm      76.216313*mm     -23.724788*mm      73.359228*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 0 layer manual 2 paddle manual 10 order manual 0 
sector0_superlayer0_layer3_paddle10  |         ahdc_mother  |ATOFpaddle10 sector0 superlayer0 layer3  |                0.0000*mm   0.0000*mm -139.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | ff11aa   |       G4GenericTrap  |139.8500*mm     -23.925716*mm      73.293943*mm     -24.854037*mm      76.151028*mm     -32.484834*mm      73.221840*mm     -31.262948*mm      70.477443*mm     -23.925716*mm      73.293943*mm     -24.854037*mm      76.151028*mm     -32.484834*mm      73.221840*mm     -31.262948*mm      70.477443*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 0 layer manual 3 paddle manual 10 order manual 0 
sector0_superlayer1_layer0_paddle0  |         ahdc_mother  |ATOFpaddle0 sector0 superlayer1 layer0  |                0.0000*mm   0.0000*mm -265.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 0 order manual 0 
sector0_superlayer1_layer0_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer0  |                0.0000*mm   0.0000*mm -237.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 1 order manual 0 
sector0_superlayer1_layer0_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer0  |                0.0000*mm   0.0000*mm -209.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 2 order manual 0 
sector0_superlayer1_layer0_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer0  |                0.0000*mm   0.0000*mm -181.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 3 order manual 0 
sector0_superlayer1_layer0_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer0  |                0.0000*mm   0.0000*mm -153.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 4 order manual 0 
sector0_superlayer1_layer0_paddle5  |         ahdc_mother  |ATOFpaddle5 sector0 superlayer1 layer0  |                0.0000*mm   0.0000*mm -125.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 5 order manual 0 
sector0_superlayer1_layer0_paddle6  |         ahdc_mother  |ATOFpaddle6 sector0 superlayer1 layer0  |                 0.0000*mm   0.0000*mm -97.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 6 order manual 0 
