sector0_superlayer0_layer0_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      -0.105634*mm      77.100135*mm      -0.105632*mm      80.104252*mm      -8.268121*mm      79.676474*mm      -7.954103*mm      76.688814*mm      -0.105634*mm      77.100135*mm      -0.105632*mm      80.104252*mm      -8.268121*mm      79.676474*mm      -7.954103*mm      76.688814*mm  | 0 0 0 10
sector0_superlayer0_layer1_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      -8.164214*mm      76.666730*mm      -8.478228*mm      79.654391*mm     -16.551286*mm      78.375744*mm     -15.926694*mm      75.437274*mm      -8.164214*mm      76.666730*mm      -8.478228*mm      79.654391*mm     -16.551286*mm      78.375744*mm     -15.926694*mm      75.437274*mm  | 0 0 1 10
sector0_superlayer0_layer2_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm     -16.133345*mm      75.393349*mm     -16.757934*mm      78.331819*mm     -24.653113*mm      76.216313*mm     -23.724788*mm      73.359228*mm     -16.133345*mm      75.393349*mm     -16.757934*mm      78.331819*mm     -24.653113*mm      76.216313*mm     -23.724788*mm      73.359228*mm  | 0 0 2 10
sector0_superlayer0_layer3_paddle10 | root|   0.0000*mm   0.0000*mm -139.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm     -23.925716*mm      73.293943*mm     -24.854037*mm      76.151028*mm     -32.484834*mm      73.221840*mm     -31.262948*mm      70.477443*mm     -23.925716*mm      73.293943*mm     -24.854037*mm      76.151028*mm     -32.484834*mm      73.221840*mm     -31.262948*mm      70.477443*mm  | 0 0 3 10
sector0_superlayer1_layer0_paddle0 | root|   0.0000*mm   0.0000*mm -265.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 0
sector0_superlayer1_layer0_paddle1 | root|   0.0000*mm   0.0000*mm -237.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 1
sector0_superlayer1_layer0_paddle2 | root|   0.0000*mm   0.0000*mm -209.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 2
sector0_superlayer1_layer0_paddle3 | root|   0.0000*mm   0.0000*mm -181.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 3
sector0_superlayer1_layer0_paddle4 | root|   0.0000*mm   0.0000*mm -153.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 4
sector0_superlayer1_layer0_paddle5 | root|   0.0000*mm   0.0000*mm -125.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 5
sector0_superlayer1_layer0_paddle6 | root|   0.0000*mm   0.0000*mm -97.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 6
