            wedgePCB  |         ahdc_mother  |                ATOF wedge PCB  |                                             0 0 0  |                                   0 0 0  | 007645   |                Tube  |                   101.5*mm 103.11*mm 141.2*mm 0*deg 360*deg  |        G4_NYLON-6-6  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240015 
           ATOFfixAl  |         ahdc_mother  |                ATOF AL fixing  |                                             0 0 0  |                                   0 0 0  | 00ff00   |                Tube  |                      111*mm 114.805*mm 125*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24001 
       ATOFfixASteel  |         ahdc_mother  |       ATOF Alloy Steel fixing  |                                             0 0 0  |                                   0 0 0  | 080808   |                Tube  |                  114.805*mm 114.997*mm 125*mm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24005 
        ATOFfixBrass  |         ahdc_mother  |             ATOF BRASS fixing  |                                             0 0 0  |                                   0 0 0  | 53f6d6   |                Tube  |                  114.997*mm 115.015*mm 125*mm 0*deg 360*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240051 
  CarbonMountingBar1  |         ahdc_mother  |         Carbon Mounting Bar 1  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                   124.5*mm 128.471*mm 141.2*mm 6*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240016 
  CarbonMountingBar2  |         ahdc_mother  |         Carbon Mounting Bar 2  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                  124.5*mm 128.471*mm 141.2*mm 30*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240029 
  CarbonMountingBar3  |         ahdc_mother  |         Carbon Mounting Bar 3  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                  124.5*mm 128.471*mm 141.2*mm 54*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240030 
  CarbonMountingBar4  |         ahdc_mother  |         Carbon Mounting Bar 4  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                  124.5*mm 128.471*mm 141.2*mm 78*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240031 
  CarbonMountingBar5  |         ahdc_mother  |         Carbon Mounting Bar 5  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                 124.5*mm 128.471*mm 141.2*mm 102*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240032 
  CarbonMountingBar6  |         ahdc_mother  |         Carbon Mounting Bar 6  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                 124.5*mm 128.471*mm 141.2*mm 126*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240033 
  CarbonMountingBar7  |         ahdc_mother  |         Carbon Mounting Bar 7  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                 124.5*mm 128.471*mm 141.2*mm 150*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240034 
