          region1_s1  |                root  |CLAS12 Drift Chambers, Sector 1 Region 1  |                 97.1504955*cm 0*cm 216.9377989*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 84.7945574*cm 7.5422753*cm 90.5532298*cm 0*rad 88.8040852*cm 9.8184403*cm 96.9412801*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 1  |        48.5752478*cm 84.1347971*cm 216.9377989*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 84.7945574*cm 7.5422753*cm 90.5532298*cm 0*rad 88.8040852*cm 9.8184403*cm 96.9412801*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 1  |       -48.5752478*cm 84.1347971*cm 216.9377989*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 84.7945574*cm 7.5422753*cm 90.5532298*cm 0*rad 88.8040852*cm 9.8184403*cm 96.9412801*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 1  |                -97.1504955*cm 0*cm 216.9377989*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 84.7945574*cm 7.5422753*cm 90.5532298*cm 0*rad 88.8040852*cm 9.8184403*cm 96.9412801*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 1  |      -48.5752478*cm -84.1347971*cm 216.9377989*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 84.7945574*cm 7.5422753*cm 90.5532298*cm 0*rad 88.8040852*cm 9.8184403*cm 96.9412801*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                root  |CLAS12 Drift Chambers, Sector 6 Region 1  |       48.5752478*cm -84.1347971*cm 216.9377989*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 84.7945574*cm 7.5422753*cm 90.5532298*cm 0*rad 88.8040852*cm 9.8184403*cm 96.9412801*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                root  |CLAS12 Drift Chambers, Sector 1 Region 2  |                157.8593431*cm 0*cm 333.5285701*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 133.9213769*cm 6.9452304*cm 143.0667589*cm 0*rad 142.0675692*cm 11.4873629*cm 156.1339965*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 2  |       78.9296716*cm 136.7102014*cm 333.5285701*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 133.9213769*cm 6.9452304*cm 143.0667589*cm 0*rad 142.0675692*cm 11.4873629*cm 156.1339965*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 2  |      -78.9296716*cm 136.7102014*cm 333.5285701*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 133.9213769*cm 6.9452304*cm 143.0667589*cm 0*rad 142.0675692*cm 11.4873629*cm 156.1339965*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 2  |               -157.8593431*cm 0*cm 333.5285701*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 133.9213769*cm 6.9452304*cm 143.0667589*cm 0*rad 142.0675692*cm 11.4873629*cm 156.1339965*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 2  |     -78.9296716*cm -136.7102014*cm 333.5285701*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 133.9213769*cm 6.9452304*cm 143.0667589*cm 0*rad 142.0675692*cm 11.4873629*cm 156.1339965*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
