          region1_s1  |                root  |CLAS12 Drift Chambers, Sector 1 Region 1  |                 97.0462012*cm 0*cm 216.9864321*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 1  |        48.5231006*cm 84.0444756*cm 216.9864321*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 1  |       -48.5231006*cm 84.0444756*cm 216.9864321*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 1  |                -97.0462012*cm 0*cm 216.9864321*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 1  |      -48.5231006*cm -84.0444756*cm 216.9864321*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                root  |CLAS12 Drift Chambers, Sector 6 Region 1  |       48.5231006*cm -84.0444756*cm 216.9864321*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad 91.7798066*cm 4.1156278*cm 97.5998732*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                root  |CLAS12 Drift Chambers, Sector 1 Region 2  |                157.7566207*cm 0*cm 333.5764704*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 2  |       78.8783104*cm 136.6212412*cm 333.5764704*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 2  |      -78.8783104*cm 136.6212412*cm 333.5764704*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 2  |               -157.7566207*cm 0*cm 333.5764704*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 2  |     -78.8783104*cm -136.6212412*cm 333.5764704*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad 147.1945736*cm 3.8290662*cm 157.1341121*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
