              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        scattChamber  |              target  |          ddvcs scatt chambers  |                                             0 0 0  |                                   0 0 0  | aaaaaa   |            Polycone  |0.0*deg 360*deg 4*counts 44*mm 44*mm 22*mm 22*mm 50*mm 50*mm 26*mm 26*mm -115*mm 260*mm 290*mm 390*mm  |            rohacell  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  scattChamberShield  |              target  | ddvcs scatt chambers W shield  |                                             0 0 0  |                                   0 0 0  | aaaaaa   |            Polycone  |0.0*deg 360*deg 2*counts 50.1*mm 50.1*mm 50.2*mm 50.2*mm -115*mm 260*mm  |                G4_W  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
                 lh2  |              target  |                   Target Cell  |                                             0 0 0  |                                   0 0 0  | aa0000   |            Polycone  |0.0*deg 360*deg 5*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 0.0*mm 2.5*mm 10.3*mm 7.3*mm 5*mm 2.5*mm -24.2*mm -21.2*mm 22.5*mm 23.5*mm 24.5*mm  |              G4_lH2  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scattChamberExitWindow  |              target  |            Vacuum exit window  |                                      0 0 390.1*mm  |                                   0 0 0  | aaaaff   |                Tube  |                            0*mm 24*mm 0.05*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       ddvcs_bigcone  |                root  |           volume containing W  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 555599   |            Polycone  |0.0*deg 360*deg 5*counts 210*mm 98.8*mm 150*mm 150*mm 150*mm 210*mm 224*mm 335*mm 368*mm 150.1*mm 785*mm 837*mm 1251*mm 1370*mm 1473.8*mm  |    ddvcs_shield_mat  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          ddvcs_ecal  |                root  |       volume containing PbWO4  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | e30e0e   |            Polycone  |0.0*deg 360*deg 4*counts 156.896968841509*mm 73.3618746871164*mm 92.17560426758*mm 98.3073697649801*mm 156.896968841509*mm 167.334171047379*mm 210.247194427483*mm 98.3073697649801*mm 585.553832743635*mm 624.506425645167*mm 784.661752420281*mm 836.859531852821*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     ddvcs_ecal12_20  |          ddvcs_ecal  |       ft crystal (h:12, v:20)  |          -162.75*mm -38.75*mm 691.729390480437*mm  |-3.20633540391454*deg 13.2398839376106*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 12 iv manual 20 
     ddvcs_ecal12_21  |          ddvcs_ecal  |       ft crystal (h:12, v:21)  |          -162.75*mm -23.25*mm 692.953779852183*mm  |-1.92168830800533*deg 13.2173120338103*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 12 iv manual 21 
     ddvcs_ecal12_22  |          ddvcs_ecal  |       ft crystal (h:12, v:22)  |           -162.75*mm -7.75*mm 693.574138251524*mm  |-0.640203263845388*deg 13.2059044109949*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 12 iv manual 22 
     ddvcs_ecal12_23  |          ddvcs_ecal  |       ft crystal (h:12, v:23)  |            -162.75*mm 7.75*mm 693.574138251524*mm  |0.640203263845388*deg 13.2059044109949*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 12 iv manual 23 
     ddvcs_ecal12_24  |          ddvcs_ecal  |       ft crystal (h:12, v:24)  |           -162.75*mm 23.25*mm 692.953779852183*mm  |1.92168830800533*deg 13.2173120338103*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 12 iv manual 24 
     ddvcs_ecal12_25  |          ddvcs_ecal  |       ft crystal (h:12, v:25)  |           -162.75*mm 38.75*mm 691.729390480437*mm  |3.20633540391454*deg 13.2398839376106*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 12 iv manual 25 
     ddvcs_ecal13_17  |          ddvcs_ecal  |       ft crystal (h:13, v:17)  |          -147.25*mm -85.25*mm 690.525846348712*mm  |-7.03800537633232*deg 12.0377653827946*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 17 
     ddvcs_ecal13_18  |          ddvcs_ecal  |       ft crystal (h:13, v:18)  |          -147.25*mm -69.75*mm 693.574138251524*mm  |-5.74276125124101*deg 11.9863922099866*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 18 
     ddvcs_ecal13_19  |          ddvcs_ecal  |       ft crystal (h:13, v:19)  |          -147.25*mm -54.25*mm 696.113575827935*mm  |-4.45625322151645*deg 11.9439235785542*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 19 
