               mucal  |                root  |muon calorimeter mother volume  |                                             0 0 0  |                                   0 0 0  | a50021   |            Polycone  |0.0*deg 360*deg 2*counts 69.6707365417428*mm 69.6707365417428*mm 350.410161513775*mm 465.8802153517*mm 599.9*mm 800.1*mm  |              Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
      ddvcs_ecal1_20  |          ddvcs_ecal  |        ft crystal (h:1, v:20)  |          -333.25*mm -38.75*mm 620.647450031584*mm  |-3.57265039875698*deg 28.2333919056536*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 0 iv manual 19 
      ddvcs_ecal1_21  |          ddvcs_ecal  |        ft crystal (h:1, v:21)  |          -333.25*mm -23.25*mm 621.254019998268*mm  |-2.14327678621478*deg 28.2100712578113*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 0 iv manual 20 
      ddvcs_ecal1_22  |          ddvcs_ecal  |        ft crystal (h:1, v:22)  |           -333.25*mm -7.75*mm 621.558284381299*mm  |-0.714372100431492*deg 28.1983865920144*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 0 iv manual 21 
      ddvcs_ecal1_23  |          ddvcs_ecal  |        ft crystal (h:1, v:23)  |            -333.25*mm 7.75*mm 621.558284381299*mm  |0.714372100431492*deg 28.1983865920144*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 0 iv manual 22 
      ddvcs_ecal1_24  |          ddvcs_ecal  |        ft crystal (h:1, v:24)  |           -333.25*mm 23.25*mm 621.254019998268*mm  |2.14327678621478*deg 28.2100712578113*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 0 iv manual 23 
      ddvcs_ecal1_25  |          ddvcs_ecal  |        ft crystal (h:1, v:25)  |           -333.25*mm 38.75*mm 620.647450031584*mm  |3.57265039875698*deg 28.2333919056536*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 0 iv manual 24 
      ddvcs_ecal2_16  |          ddvcs_ecal  |        ft crystal (h:2, v:16)  |         -317.75*mm -100.75*mm 621.558284381299*mm  |-9.20723884879859*deg 27.0770869432594*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 15 
      ddvcs_ecal2_17  |          ddvcs_ecal  |        ft crystal (h:2, v:17)  |          -317.75*mm -85.25*mm 623.397852913311*mm  |-7.78700971451259*deg 27.0085200557465*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 16 
      ddvcs_ecal2_18  |          ddvcs_ecal  |        ft crystal (h:2, v:18)  |          -317.75*mm -69.75*mm 624.949627811328*mm  |-6.36843516709001*deg 26.9509294664619*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 17 
      ddvcs_ecal2_19  |          ddvcs_ecal  |        ft crystal (h:2, v:19)  |           -317.75*mm -54.25*mm 626.20377399193*mm  |-4.95140239209195*deg 26.9045504709038*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 18 
