              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        scattChamber  |              target  |          ddvcs scatt chambers  |                                             0 0 0  |                                   0 0 0  | aaaaaa   |            Polycone  |0.0*deg 360*deg 4*counts 44*mm 44*mm 22*mm 22*mm 50*mm 50*mm 26*mm 26*mm -115*mm 260*mm 290*mm 390*mm  |            rohacell  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  scattChamberShield  |              target  | ddvcs scatt chambers W shield  |                                             0 0 0  |                                   0 0 0  | aaaaaa   |            Polycone  |0.0*deg 360*deg 2*counts 50.1*mm 50.1*mm 50.2*mm 50.2*mm -115*mm 260*mm  |                G4_W  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
                 lh2  |              target  |                   Target Cell  |                                             0 0 0  |                                   0 0 0  | aa0000   |            Polycone  |0.0*deg 360*deg 5*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 0.0*mm 2.5*mm 10.3*mm 7.3*mm 5*mm 2.5*mm -24.2*mm -21.2*mm 22.5*mm 23.5*mm 24.5*mm  |              G4_lH2  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scattChamberExitWindow  |              target  |            Vacuum exit window  |                                      0 0 390.1*mm  |                                   0 0 0  | aaaaff   |                Tube  |                            0*mm 24*mm 0.05*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       ddvcs_bigcone  |                root  |           volume containing W  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 555599   |            Polycone  |0.0*deg 360*deg 9*counts 302*mm 402*mm 98.8*mm 105.2*mm 105.2*mm 113.3*mm 134.8*mm 150*mm 150*mm 457*mm 614*mm 740*mm 784*mm 798*mm 798*mm 882.5*mm 627.9*mm 150.1*mm 520*mm 696*mm 837*mm 888*mm 888*mm 951*mm 1132.3*mm 1251*mm 1473.8*mm  |    ddvcs_shield_mat  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    ddvcs_mollercone  |                root  |                   Moller Cone  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 222288   |            Polycone  |0.0*deg 360*deg 5*counts 26.1*mm 26.1*mm 33.1*mm 33.1*mm 33.1*mm 30.6*mm 149*mm 149*mm 111*mm 111*mm 300*mm 1251*mm 2280*mm 2380*mm 2750*mm  |          beamline_W  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          ddvcs_ecal  |                root  |       volume containing PbWO4  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | e30e0e   |            Polycone  |0.0*deg 360*deg 4*counts 301*mm 72.8*mm 81.5*mm 98.7*mm 301.1*mm 360.6*mm 401*mm 98.8*mm 520*mm 625*mm 696*mm 836*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      ddvcs_ecal1_16  |          ddvcs_ecal  |        ft crystal (h:1, v:16)  |-323.566457124327*mm -91.0664571243268*mm 620.37610747793*mm  |-8.35102687361922*deg 27.545254585519*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 16 
      ddvcs_ecal1_17  |          ddvcs_ecal  |        ft crystal (h:1, v:17)  |-323.566457124327*mm -75.5664571243268*mm 622.009133608268*mm  |-6.92685930692795*deg 27.4835413494775*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 17 
      ddvcs_ecal1_18  |          ddvcs_ecal  |        ft crystal (h:1, v:18)  |-323.566457124327*mm -60.0664571243268*mm 623.352510096816*mm  |-5.50410413256429*deg 27.4329650427413*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 18 
      ddvcs_ecal1_19  |          ddvcs_ecal  |        ft crystal (h:1, v:19)  |-323.566457124327*mm -44.5664571243268*mm 624.397779933152*mm  |-4.08261135426302*deg 27.3937306784541*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 19 
      ddvcs_ecal1_20  |          ddvcs_ecal  |        ft crystal (h:1, v:20)  |-323.566457124327*mm -29.0664571243268*mm 625.13813418052*mm  |-2.66213810484711*deg 27.3660039545207*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 20 
      ddvcs_ecal1_21  |          ddvcs_ecal  |        ft crystal (h:1, v:21)  |-323.566457124327*mm -13.5664571243268*mm 625.568624500667*mm  |-1.24236888019386*deg 27.34990562785*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 21 
      ddvcs_ecal1_22  |          ddvcs_ecal  |        ft crystal (h:1, v:22)  |-323.566457124327*mm 1.9335428756732*mm 625.686324417167*mm  |0.17706099813763*deg 27.3455072432431*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 22 
