                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |                       75*mm 240.000*mm 330*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment01  |                 BMT  |CuGround C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |76.25*mm 76.251584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment02  |                 BMT  |CuGround C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |76.25*mm 76.251584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment03  |                 BMT  |CuGround C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |76.25*mm 76.251584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment01  |                 BMT  |   PCB C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 0000ff   |                Tube  |76.251584*mm 76.351584*mm 31.5385459522971*mm 2.25573935090875*deg 115.488521298182*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment02  |                 BMT  |   PCB C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 0000ff   |                Tube  |76.251584*mm 76.351584*mm 31.5385459522971*mm 2.25573935090875*deg 115.488521298182*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment03  |                 BMT  |   PCB C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 0000ff   |                Tube  |76.251584*mm 76.351584*mm 31.5385459522971*mm 2.25573935090875*deg 115.488521298182*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_C_Layer1_Segment01  |                 BMT  |CuStrips C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 353540   |                Tube  |76.351584*mm 76.363584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |     mybmtc4MMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_C_Layer1_Segment02  |                 BMT  |CuStrips C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 353540   |                Tube  |76.351584*mm 76.363584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |     mybmtc4MMStrips  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_C_Layer1_Segment03  |                 BMT  |CuStrips C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 353540   |                Tube  |76.351584*mm 76.363584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |     mybmtc4MMStrips  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_C_Layer1_Segment01  |                 BMT  |KaptonStrips C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |76.363584*mm 76.438584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_C_Layer1_Segment02  |                 BMT  |KaptonStrips C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |76.363584*mm 76.438584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_C_Layer1_Segment03  |                 BMT  |KaptonStrips C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |76.363584*mm 76.438584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment01  |                 BMT  |ResistStrips C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 000000   |                Tube  |76.438584*mm 76.458584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |  mybmtc4ResistPaste  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment02  |                 BMT  |ResistStrips C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 000000   |                Tube  |76.438584*mm 76.458584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |  mybmtc4ResistPaste  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment03  |                 BMT  |ResistStrips C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 000000   |                Tube  |76.438584*mm 76.458584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |  mybmtc4ResistPaste  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
