  ddvcs_central_flux  |                root  |            ddvcs central flux  |                              0.0*cm 0.0*cm 0.0*cm  |                                   0 0 0  | aa0088   |            Polycone  |0.0*deg 360*deg 3*counts 250*mm 250*mm 57.6*mm 250.1*mm 250.1*mm 57.7*mm -400*mm 333*mm 416*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 1 
 ddvcs_shield_flux11  |                root  |          ddvcs shield flux 11  |      215.584176897147*mm 0*mm 539.430477270497*mm  |ordered: zyx 90*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 11 
 ddvcs_shield_flux21  |                root  |          ddvcs shield flux 21  |107.79412059888*mm 186.700200569615*mm 539.430477270497*mm  |ordered: zyx 30*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 21 
 ddvcs_shield_flux31  |                root  |          ddvcs shield flux 31  |-107.788024109649*mm 186.703720335075*mm 539.430477270497*mm  |ordered: zyx -30*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 31 
 ddvcs_shield_flux41  |                root  |          ddvcs shield flux 41  |-215.584176782213*mm 0.00703959727703332*mm 539.430477270497*mm  |ordered: zyx -90*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 41 
 ddvcs_shield_flux51  |                root  |          ddvcs shield flux 51  |-107.800216973174*mm -186.696680605084*mm 539.430477270497*mm  |ordered: zyx -150*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 51 
 ddvcs_shield_flux61  |                root  |          ddvcs shield flux 61  |107.781927505489*mm -186.707239901461*mm 539.430477270497*mm  |ordered: zyx -210*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0 155.866408041379*mm 42.8568054675584*mm 205.774314623069*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 61 
 ddvcs_shield_flux12  |                root  |          ddvcs shield flux 12  |      520.375599406906*mm 0*mm 1302.07356582534*mm  |ordered: zyx 90*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 12 
 ddvcs_shield_flux22  |                root  |          ddvcs shield flux 22  |260.192704893848*mm 450.655656547346*mm 1302.07356582534*mm  |ordered: zyx 30*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 22 
 ddvcs_shield_flux32  |                root  |          ddvcs shield flux 32  |-260.177989230188*mm 450.66415253294*mm 1302.07356582534*mm  |ordered: zyx -30*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 32 
 ddvcs_shield_flux42  |                root  |          ddvcs shield flux 42  |-520.375599129479*mm 0.0169921313583563*mm 1302.07356582534*mm  |ordered: zyx -90*deg 0 0.436327777777778*rad  | aa0088   |              G4Trap  |0.05*mm -0.436327777777778*rad 90*deg 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0 376.229260789535*mm 103.447461473417*mm 496.696621503959*mm 0  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 42 
