         mucalVolume  |                root  |Forward MUCAL - Panel 1a - Sector 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | 555599   |            Polycone  |0*rad 6.2831853*rad 4*counts 30.1*cm 7.28*cm 8.15*cm 9.87*cm 30.11*cm 36.06*cm 40.1*cm 9.88*cm 52*cm 62.5*cm 69.6*cm 83.6*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       mucal_100_119  |         mucalVolume  |paddle 100 - Panel 1B - Sector 1  |                -33.325*cm -3.875*cm 62.0647683*cm  |     -3.5726119*deg 28.2330895*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_100_120  |         mucalVolume  |paddle 100 - Panel 1B - Sector 1  |                -33.325*cm -2.325*cm 62.1254259*cm  |     -2.1432537*deg 28.2097689*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_100_121  |         mucalVolume  |paddle 100 - Panel 1B - Sector 1  |                -33.325*cm -0.775*cm 62.1558527*cm  |     -0.7143644*deg 28.1980842*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_100_122  |         mucalVolume  |paddle 100 - Panel 1B - Sector 1  |                 -33.325*cm 0.775*cm 62.1558527*cm  |      0.7143644*deg 28.1980842*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_100_123  |         mucalVolume  |paddle 100 - Panel 1B - Sector 1  |                 -33.325*cm 2.325*cm 62.1254259*cm  |      2.1432537*deg 28.2097689*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_100_124  |         mucalVolume  |paddle 100 - Panel 1B - Sector 1  |                 -33.325*cm 3.875*cm 62.0647683*cm  |      3.5726119*deg 28.2330895*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_115  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |               -31.775*cm -10.075*cm 62.1558527*cm  |     -9.2071396*deg 27.0767965*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_116  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                -31.775*cm -8.525*cm 62.3398113*cm  |     -7.7869256*deg 27.0082297*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_117  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                -31.775*cm -6.975*cm 62.4949903*cm  |     -6.3683662*deg 26.9506391*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_118  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                -31.775*cm -5.425*cm 62.6204061*cm  |     -4.9513487*deg 26.9042602*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_119  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                 -31.775*cm -3.875*cm 62.715231*cm  |     -3.5356524*deg 26.8692918*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_120  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                -31.775*cm -2.325*cm 62.7788186*cm  |     -2.1209675*deg 26.8458898*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_121  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                -31.775*cm -0.775*cm 62.8107253*cm  |     -0.7069171*deg 26.8341615*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
