par_RichBox_dz            |   634.81   |  mm  |   half depth                                             |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_dx1           |   135      |  mm  |   half width entrance window close to beam pipe 		   |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_dx2           |   2090.22  |  mm  |   half width entrance window maximum radiu		       |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_dx3           |   135      |  mm  |   half width rear window close to beam pipe		       |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_dx4           |   2090.22  |  mm  |   half width rear window maximum radius		           |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_dy1           |   1882.49  |  mm  |   half heigth entrance window		         	           |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_dy2           |   1882.49  |  mm  |   half heigth rear window 			                   |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_alp1          |   0        |  deg |   rotation entrance window		       		               |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_alp2          |   0        |  deg |   rotation rear window				                   |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_th            |   -25      |  deg |   central axis inclination                               |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_ph            |   90       |  deg |   central axis inclination is a rotation around x axis   |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14

par_RichBox_x             |   0        |  mm  |   descr x						                           |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_y             |   1706.145  |  mm  |   descr y 							                   |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_z             |   5705.13  |  mm  |   descr z						                           |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14

par_RichBox_the           |   25.0     |  deg |   descr thea						                       |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_phi           |   180.0    |  deg |   descr phi						                       |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14
par_RichBox_psi           |   90.0     |  deg |   descr psi						                       |  Silvia Pisano   |  pisanos@jlab.org     |  none  | none | 09/01/14

